Student_ID,Name,Math,Science,English,Total,Grade
1,Cornell Ousley,58,46,54,110,Open-architected
2,Clayton Jonas,93,79,77,120,matrices
3,Estevan Donovin,28,27,68,56,collaboration
4,Patric Ewbank,81,74,19,106,Right-sized
5,Silvie Haylock,1,13,52,136,strategy
6,Alvis Breeds,89,67,47,132,paradigm
7,Orville Pavel,18,17,95,68,budgetary management
8,Marty Broomfield,27,41,60,7,local
9,Perle Lisett,28,41,4,112,optimizing
10,Niko Scarce,42,17,1,50,Fully-configurable
11,Ranna Florio,35,57,59,94,stable
12,Parker Charle,71,90,47,20,24/7
13,Kailey Elen,2,94,43,28,directional
14,Willyt O'Kinneally,36,82,53,282,Team-oriented
15,Averell McBay,89,57,7,113,function
16,Avis Petrou,44,8,52,39,mobile
17,Margi Fosken,9,32,1,202,Grass-roots
18,Vida Doulton,22,26,16,106,bandwidth-monitored
19,Pepi Iacoviello,16,6,47,265,optimal
20,Gunar Brounsell,90,95,72,66,Compatible
21,Philippa Najara,97,51,7,183,support
22,Fitzgerald Tidmas,19,80,8,277,Switchable
23,Sigismondo Fillis,73,79,31,212,capability
24,Simeon Dobrovsky,5,82,97,258,local
25,Cynthea Pyburn,90,24,50,44,user-facing
26,Johnette Nassy,48,92,71,165,eco-centric
27,Dee dee Bernath,47,49,46,279,contingency
28,Cherise Walasik,80,88,23,57,algorithm
29,Merrel Traice,16,18,34,149,bottom-line
30,Gale Colaton,24,45,31,129,secondary
31,Merline Jeness,11,82,12,37,Multi-tiered
32,Florinda Thalmann,21,81,59,108,concept
33,Debi Crookshanks,16,83,82,274,utilisation
34,Prudy Brandacci,41,39,90,69,extranet
35,Morgan Soppett,80,0,44,246,fault-tolerant
36,Meriel Trathan,81,96,28,151,policy
37,Raimundo Favelle,94,58,53,239,Adaptive
38,Shana Shalcros,70,9,65,277,time-frame
39,Mickie Aslett,23,3,61,208,collaboration
40,Dorey Illwell,83,80,61,113,monitoring
41,Roxy Dunstone,2,83,80,127,leading edge
42,Rutherford Clappson,1,48,1,156,De-engineered
43,Gilli Beningfield,18,12,97,16,encoding
44,Genia Sikorski,18,70,38,145,matrix
45,Randi Haugen,16,21,78,217,incremental
46,Bond Milstead,5,10,71,208,capacity
47,Dela Cordingley,73,20,54,136,process improvement
48,Cyndie De Meis,18,41,93,84,global
49,Sharon Mundle,15,98,32,38,User-centric
50,Yule Kullmann,56,0,49,228,Integrated
51,Lola Everix,82,52,50,229,methodical
52,Willamina Rule,36,78,46,172,executive
53,Gui Horche,19,51,74,296,directional
54,Arielle Kielty,91,45,44,78,reciprocal
55,Morrie Forstall,11,7,87,136,systemic
56,Putnam Hayter,40,20,66,150,Triple-buffered
57,Dael Megroff,39,3,32,177,user-facing
58,Dick Chatterton,81,34,72,144,leading edge
59,Rhianon Dullingham,62,77,37,106,upward-trending
60,Morris Kinane,39,6,12,5,Face to face
61,Evangelia Troke,26,84,61,253,responsive
62,Padriac Nekrews,42,13,71,140,structure
63,Jerald Ferneley,28,39,27,138,paradigm
64,Sauncho Sysland,80,43,50,280,Phased
65,Lia Brawn,26,30,54,71,infrastructure
66,Pembroke Dietzler,98,55,49,3,Digitized
67,Earvin Carlisle,18,46,97,269,executive
68,Fawne Cursons,94,30,16,232,Configurable
69,Ferrel Heliot,86,81,4,300,infrastructure
70,Rudy Kun,61,10,91,58,functionalities
71,Berri Poznanski,28,8,2,122,multi-tasking
72,My Clemmitt,96,23,47,248,solution-oriented
73,Marice Maylott,10,61,81,138,transitional
74,Bondon Ferandez,32,66,25,88,3rd generation
75,Cello Lattie,96,24,55,179,incremental
76,Riordan O'Doireidh,63,48,41,54,bifurcated
77,Murial Myrick,88,95,89,158,Cross-platform
78,Jolie Oleszkiewicz,26,25,52,50,national
79,Colby Arcase,93,61,94,61,Ergonomic
80,Kelvin Crumley,28,69,51,82,leverage
81,Kass Gullberg,63,57,95,51,pricing structure
82,Constantin Younie,1,1,50,48,firmware
83,Nissa Buffin,76,89,64,195,capability
84,Tara Alldridge,82,36,84,255,concept
85,Warde Rawsen,38,34,78,63,next generation
86,Aridatha Rama,29,13,67,152,archive
87,Elvis Normabell,38,41,97,228,success
88,Christi Brun,26,13,12,240,application
89,Drucie MacSkeaghan,65,42,19,202,Multi-lateral
90,Kris Hatherall,14,89,98,83,collaboration
91,Ilario Entwistle,81,70,42,246,definition
92,Catharina Carass,78,26,30,230,clear-thinking
93,Zilvia Hammerton,33,88,100,193,Multi-lateral
94,Shea Catanheira,46,39,73,134,Focused
95,Farlee MacVean,33,22,16,44,Business-focused
96,Gnni Aimson,56,32,99,69,Expanded
97,Helaina Dudney,64,46,60,139,interactive
98,Foster Beneteau,40,95,74,18,analyzer
99,Hakeem Beedell,2,10,93,71,secondary
100,Thomasine Bearne,17,46,28,133,Digitized
101,Vallie Fieldhouse,62,78,23,266,static
102,Adriano MacCambridge,47,31,76,38,utilisation
103,Marcelia Savill,71,59,35,146,holistic
104,Rosalynd Pavic,31,3,28,192,modular
105,Allen Jewes,6,76,5,209,systemic
106,Ninetta Blackwell,92,44,55,18,Down-sized
107,Hedwiga Wehnerr,23,84,40,12,clear-thinking
108,Darcee Eccleston,100,87,44,143,6th generation
109,Hettie McWard,25,8,19,248,forecast
110,Amelina Cuckson,39,52,49,217,zero administration
111,Lucy Bann,84,79,90,142,empowering
112,Sibel Thurstance,45,71,27,187,matrix
113,Elvyn Rapa,38,46,13,270,zero administration
114,Elenore McMychem,90,30,100,197,process improvement
115,Lucian Seymark,58,82,20,293,leading edge
116,Clevey Dukes,81,48,44,172,encryption
117,Marcy Pigeram,77,34,43,238,empowering
118,Gusta Tatterton,71,10,61,101,cohesive
119,Mac Skirvane,18,82,93,200,eco-centric
120,Ines Kesper,50,58,35,136,synergy
121,Niko Smalcombe,57,0,45,175,synergy
122,Tod Zorn,60,70,59,208,leverage
123,Laverne McPhee,35,21,83,243,tertiary
124,Koral Fromant,63,99,64,67,initiative
125,Palmer Cluely,62,50,1,174,migration
126,Desirae De Freitas,13,27,9,179,benchmark
127,Michell Palfery,30,64,19,87,systematic
128,Domini Sallenger,63,54,21,32,optimizing
129,Des Penright,4,40,61,259,3rd generation
130,Lurette Lovart,53,92,81,207,high-level
131,Bird Broxis,7,13,7,9,neutral
132,Murray Jans,55,76,29,203,asynchronous
133,Buck Brehaut,44,56,16,242,zero defect
134,Zaneta Minguet,78,27,22,97,service-desk
135,Lavena Packington,28,3,41,9,Compatible
136,Reggie Saill,54,13,21,220,Focused
