id,name,email,gender,grade
1,Humfrey Wrench,hwrench0@opera.com,Male,9.5
2,Roderic Dwelley,rdwelley1@spotify.com,Male,7.0
3,Wilton Ruspine,wruspine2@ucsd.edu,Male,2.2
4,Ely Tremmel,etremmel3@xinhuanet.com,Male,4.5
5,Farris Luckcock,fluckcock4@redcross.org,Agender,5.6
6,Jamaal Thormann,jthormann5@netvibes.com,Male,5.7
7,Egbert Poplee,epoplee6@google.de,Polygender,4.9
8,Alyssa Bennedsen,abennedsen7@google.ca,Female,2.9
9,Donna Kienlein,dkienlein8@techcrunch.com,Female,3.8
10,Trudi Scherer,tscherer9@hexun.com,Female,9.3
11,Aurel Caffrey,acaffreya@dagondesign.com,Female,3.9
12,Lazar Lumsdale,llumsdaleb@tinyurl.com,Male,3.5
13,Ted Woollett,twoollettc@newsvine.com,Female,8.8
14,Andonis Sawfoot,asawfootd@1und1.de,Male,5.5
15,Sid Nassie,snassiee@yolasite.com,Male,3.8
16,Rick Ausiello,rausiellof@businesswire.com,Male,5.2
17,Marshall Blyth,mblythg@digg.com,Male,9.3
18,Katya Merkle,kmerkleh@google.com,Female,6.0
19,Sayre Goozee,sgoozeei@arizona.edu,Male,7.6
20,Bobbe Ugoni,bugonij@theatlantic.com,Female,10.0
21,Ichabod Ingold,iingoldk@wikipedia.org,Bigender,4.9
22,Duncan Heisler,dheislerl@reuters.com,Male,7.1
23,Ulises Lipprose,ulipprosem@tripod.com,Male,5.0
24,Gaston Carbert,gcarbertn@vkontakte.ru,Male,4.3
25,Velma Lower,vlowero@canalblog.com,Bigender,1.8
26,Vivyan Jurisic,vjurisicp@google.pl,Female,9.1
27,York Du Plantier,yduq@purevolume.com,Male,9.4
28,Thibaud Subhan,tsubhanr@yellowpages.com,Male,7.3
29,Minda Duckitt,mduckitts@china.com.cn,Female,7.6
30,Bryn Perfitt,bperfittt@imdb.com,Male,4.1
31,Thatcher Milksop,tmilksopu@nbcnews.com,Male,9.6
32,Bail Partleton,bpartletonv@hostgator.com,Male,6.6
33,Wandie Kitchenside,wkitchensidew@discovery.com,Female,3.8
34,Althea Eliyahu,aeliyahux@wiley.com,Female,7.1
35,Gideon Scarre,gscarrey@simplemachines.org,Male,8.2
36,Hildagarde Littlewood,hlittlewoodz@reverbnation.com,Female,6.8
37,Decca Barrim,dbarrim10@theatlantic.com,Male,5.1
38,Joy Adie,jadie11@360.cn,Female,5.9
39,Michel Pervew,mpervew12@biblegateway.com,Male,7.4
40,Kalila Boodle,kboodle13@columbia.edu,Female,2.1
41,Neils Bigrigg,nbigrigg14@google.com,Male,2.9
42,Perice Aingel,paingel15@prlog.org,Male,1.8
43,Henrieta Bone,hbone16@youtu.be,Female,3.8
44,Isa Mitchelhill,imitchelhill17@bloglovin.com,Female,2.7
45,Gael Grigs,ggrigs18@blinklist.com,Male,3.5
46,Papageno Brookzie,pbrookzie19@trellian.com,Male,9.5
47,Eada Cockson,ecockson1a@umn.edu,Female,3.2
48,Stephi De Fries,sde1b@indiatimes.com,Female,1.2
49,Vonni Spellward,vspellward1c@ox.ac.uk,Female,8.7
50,Harper Barlas,hbarlas1d@furl.net,Male,2.3
51,Joli Paulisch,jpaulisch1e@flickr.com,Female,9.5
52,Billye McQuirter,bmcquirter1f@liveinternet.ru,Female,9.9
53,Donnell Caseley,dcaseley1g@cnn.com,Male,9.9
54,Gideon Glynne,gglynne1h@paginegialle.it,Non-binary,9.0
55,Godiva Fenech,gfenech1i@paginegialle.it,Female,3.2
56,Sarina Rojas,srojas1j@howstuffworks.com,Female,4.6
57,Pepito Yellowlees,pyellowlees1k@netscape.com,Male,2.5
58,Alla Pouton,apouton1l@wiley.com,Genderfluid,3.3
59,Genia Hubbins,ghubbins1m@army.mil,Female,1.0
60,Quintina Wills,qwills1n@webmd.com,Female,2.4
61,Grannie Volette,gvolette1o@blogtalkradio.com,Male,10.0
62,Simone Gettone,sgettone1p@nps.gov,Male,5.2
63,Neill Aronowicz,naronowicz1q@last.fm,Male,2.5
64,Sam Extal,sextal1r@amazon.co.uk,Male,8.3
65,Kerrie Pariss,kpariss1s@wikimedia.org,Polygender,5.7
66,Crosby Maletratt,cmaletratt1t@google.it,Male,6.1
67,Mandy Minelli,mminelli1u@microsoft.com,Female,5.8
68,Augustin Sharer,asharer1v@google.pl,Male,1.4
69,Zollie Dytham,zdytham1w@ucsd.edu,Genderfluid,3.8
70,Burtie Linbohm,blinbohm1x@skyrock.com,Male,8.7
71,Mirilla Astill,mastill1y@wisc.edu,Female,6.4
72,Natalie Thomtson,nthomtson1z@eventbrite.com,Female,9.6
73,Papagena Krzysztofiak,pkrzysztofiak20@tinyurl.com,Female,4.1
74,Avigdor Yearsley,ayearsley21@harvard.edu,Male,8.8
75,Leoine Hempel,lhempel22@nationalgeographic.com,Female,6.3
76,Lucias Gaynsford,lgaynsford23@51.la,Male,4.9
77,Nate Haldin,nhaldin24@psu.edu,Male,2.4
78,Winston Shee,wshee25@slideshare.net,Male,1.4
79,Cherianne Rickeard,crickeard26@hubpages.com,Female,9.8
80,Fina Rawlins,frawlins27@marriott.com,Female,6.9
81,Nerte Allport,nallport28@wikispaces.com,Female,1.2
82,Oberon Longfoot,olongfoot29@indiegogo.com,Male,9.6
83,Spike Mileham,smileham2a@virginia.edu,Male,1.1
84,Hermine Readett,hreadett2b@sogou.com,Female,6.6
85,Neils Telford,ntelford2c@squidoo.com,Male,9.8
86,Jasmin Billyard,jbillyard2d@theatlantic.com,Female,8.9
87,Rollin Spellworth,rspellworth2e@hhs.gov,Male,8.9
88,Freedman Wardingly,fwardingly2f@addtoany.com,Male,9.4
89,Dinah MacNeillie,dmacneillie2g@java.com,Female,4.3
90,Roseann Blaze,rblaze2h@cbsnews.com,Female,2.5
91,Flossie Jacke,fjacke2i@hp.com,Female,1.4
92,Bella Langworthy,blangworthy2j@cornell.edu,Female,6.4
93,Hillard Preskett,hpreskett2k@smugmug.com,Male,2.7
94,Fenelia Palphramand,fpalphramand2l@hp.com,Female,3.7
95,Mischa Gantley,mgantley2m@redcross.org,Male,2.0
96,Cassey Fenemore,cfenemore2n@tuttocitta.it,Female,1.4
97,Sheffield Ivain,sivain2o@google.cn,Genderqueer,6.8
98,Clive MacGahy,cmacgahy2p@senate.gov,Male,2.2
99,Arel Carrack,acarrack2q@biglobe.ne.jp,Male,4.5
100,Allsun Shakesby,ashakesby2r@symantec.com,Genderfluid,3.6
